RecordID,Country,Gender,Demographics Question,Demographics Response,Question,Survey Year,Value,Alpha-3 code
1,Afghanistan,F,Marital status,Never married,... if she burns the food,42005,,AFG
1,Afghanistan,F,Education,Higher,... if she burns the food,42005,10.1,AFG
1,Afghanistan,F,Education,Secondary,... if she burns the food,42005,13.7,AFG
1,Afghanistan,F,Education,Primary,... if she burns the food,42005,13.8,AFG
1,Afghanistan,F,Marital status,Widowed, divorced, separated,... if she burns the food,42005,13.8,AFG
1,Afghanistan,F,Employment,Employed for kind,... if she burns the food,42005,17,AFG
1,Afghanistan,F,Age,15-24,... if she burns the food,42005,17.3,AFG
1,Afghanistan,F,Employment,Unemployed,... if she burns the food,42005,18,AFG
1,Afghanistan,F,Residence,Rural,... if she burns the food,42005,18.1,AFG
1,Afghanistan,F,Age,25-34,... if she burns the food,42005,18.2,AFG
1,Afghanistan,F,Marital status,Married or living together,... if she burns the food,42005,18.3,AFG
1,Afghanistan,F,Residence,Urban,... if she burns the food,42005,18.3,AFG
1,Afghanistan,F,Age,35-49,... if she burns the food,42005,18.8,AFG
1,Afghanistan,F,Education,No education,... if she burns the food,42005,19.1,AFG
1,Afghanistan,F,Employment,Employed for cash,... if she burns the food,42005,20.8,AFG
1,Afghanistan,M,Marital status,Never married,... if she burns the food,42005,,AFG
1,Afghanistan,M,Education,Higher,... if she burns the food,42005,4.5,AFG
1,Afghanistan,M,Residence,Urban,... if she burns the food,42005,4.6,AFG
1,Afghanistan,M,Employment,Unemployed,... if she burns the food,42005,5.2,AFG
1,Afghanistan,M,Education,Primary,... if she burns the food,42005,6.3,AFG
1,Afghanistan,M,Marital status,Widowed, divorced, separated,... if she burns the food,42005,6.3,AFG
1,Afghanistan,M,Education,Secondary,... if she burns the food,42005,7.1,AFG
1,Afghanistan,M,Age,25-34,... if she burns the food,42005,8.2,AFG
1,Afghanistan,M,Employment,Employed for cash,... if she burns the food,42005,8.4,AFG
1,Afghanistan,M,Marital status,Married or living together,... if she burns the food,42005,8.5,AFG
1,Afghanistan,M,Age,35-49,... if she burns the food,42005,8.6,AFG
1,Afghanistan,M,Age,15-24,... if she burns the food,42005,9.4,AFG
1,Afghanistan,M,Residence,Rural,... if she burns the food,42005,9.7,AFG
1,Afghanistan,M,Education,No education,... if she burns the food,42005,10.6,AFG
1,Afghanistan,M,Employment,Employed for kind,... if she burns the food,42005,10.7,AFG
351,Afghanistan,F,Age,15-24,... for at least one specific reason,42005,80.1,AFG
351,Afghanistan,F,Age,25-34,... for at least one specific reason,42005,81.5,AFG
351,Afghanistan,F,Age,35-49,... for at least one specific reason,42005,79,AFG
71,Afghanistan,F,Age,15-24,... if she argues with him,42005,57.5,AFG
71,Afghanistan,F,Age,25-34,... if she argues with him,42005,60,AFG
71,Afghanistan,F,Age,35-49,... if she argues with him,42005,59.8,AFG
141,Afghanistan,F,Age,15-24,... if she goes out without telling him,42005,67.7,AFG
141,Afghanistan,F,Age,25-34,... if she goes out without telling him,42005,68.5,AFG
141,Afghanistan,F,Age,35-49,... if she goes out without telling him,42005,64.7,AFG
211,Afghanistan,F,Age,15-24,... if she neglects the children,42005,46.5,AFG
211,Afghanistan,F,Age,25-34,... if she neglects the children,42005,50.2,AFG
211,Afghanistan,F,Age,35-49,... if she neglects the children,42005,48.1,AFG
281,Afghanistan,F,Age,15-24,... if she refuses to have sex with him,42005,32.1,AFG
281,Afghanistan,F,Age,25-34,... if she refuses to have sex with him,42005,34.3,AFG
281,Afghanistan,F,Age,35-49,... if she refuses to have sex with him,42005,33.5,AFG
351,Afghanistan,F,Education,Higher,... for at least one specific reason,42005,61.1,AFG
351,Afghanistan,F,Education,No education,... for at least one specific reason,42005,81,AFG
351,Afghanistan,F,Education,Primary,... for at least one specific reason,42005,79.8,AFG
351,Afghanistan,F,Education,Secondary,... for at least one specific reason,42005,76,AFG
